# Antenna delay centers, in nsec, relative to Ant 1
#     Date: 2016-11-21 21:22:22.000
# Note: For historical reasons, dppxmp needs four header lines
# Ant  X Delay[ns]  Y Delay[ns]
   1        0.000       -7.600
   2       31.750       31.122
   3      -58.469      -53.700
   4      -50.859      -44.590
   5      -72.703      -68.660
   6     -216.031     -210.760
   7     -110.891     -106.620
   8     -596.266     -593.960
   9    -2636.344    -2658.580
  10    -1275.094    -1263.760
  11    -2947.328    -2944.140
  12    -6507.359    -6504.100
  13    -8490.578    -8487.380
  14    -3863.234    -3859.722
  15    -2018.750    -2018.750
  16        0.000        0.000
